AIM/CGE 2.1,CD-LINKS-INDCi,USD2010/TCO2.Capita,1.38719E-10,1.3266E-10,1.28378E-10,1.24363E-10,1.21709E-10,1.19166E-10,1.17914E-10,1.16688E-10,1.1651E-10,1.18308E-10,1.22011E-10,1.27774E-10,1.35706E-10
AIM/CGE 2.1,CD-LINKS-NDC2030i_1000,USD2010/TCO2.Capita,1.38719E-10,1.3266E-10,1.28378E-10,1.24363E-10,9.11937E-09,1.74228E-08,4.02222E-08,3.61329E-08,3.44524E-08,4.62979E-08,3.92284E-08,3.74382E-08,4.62294E-08
AIM/CGE 2.1,CD-LINKS-NPi2020_1000,USD2010/TCO2.Capita,1.38719E-10,4.99384E-10,2.95771E-09,1.10248E-08,2.60088E-08,2.64495E-08,1.98558E-08,1.7669E-08,2.23515E-08,2.73907E-08,2.47574E-08,2.4901E-08,2.88022E-08
AIM/CGE 2.1,CD-LINKS-NPi2020_1600,USD2010/TCO2.Capita,1.38719E-10,9.21309E-10,2.53587E-09,1.02416E-08,1.29577E-08,1.13869E-08,1.1097E-08,1.15302E-08,1.47914E-08,1.60973E-08,1.61147E-08,1.68409E-08,1.96649E-08
AIM/CGE 2.1,CD-LINKS-NPi2020_400,USD2010/TCO2.Capita,1.37794E-10,4.94172E-10,4.7598E-09,1.35705E-08,2.7787E-08,3.84489E-08,6.66945E-08,1.08868E-07,1.13459E-07,1.05807E-07,1.32187E-07,1.49456E-07,2.00069E-07
AIM/CGE 2.1,COMMIT-Bridge,USD2010/TCO2.Capita,0,0,1.68848E-09,3.14798E-09,5.83578E-09,8.35747E-09,1.07727E-08,1.31689E-08,1.54581E-08,1.80315E-08,2.10186E-08,2.48586E-08,3.39313E-08
AIM/CGE V2.2,ENGAGE-INDCi2030-1000f,USD2010/TCO2.Capita,0,0,3.76675E-10,3.62608E-10,5.84727E-09,1.62138E-08,1.38584E-08,1.07193E-08,1.69554E-08,2.39725E-08,2.66779E-08,2.56697E-08,2.52857E-08
AIM/CGE V2.2,ENGAGE-INDCi2030-1200,USD2010/TCO2.Capita,0,0,3.76675E-10,3.62608E-10,5.84727E-09,1.55743E-08,1.25179E-08,1.02955E-08,1.73147E-08,2.05507E-08,2.01635E-08,2.01441E-08,2.01443E-08
AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,USD2010/TCO2.Capita,0,0,3.76675E-10,3.62608E-10,5.84727E-09,1.23868E-08,9.15971E-09,8.22245E-09,1.599E-08,2.03109E-08,2.83601E-08,2.64159E-08,2.56404E-08
AIM/CGE V2.2,ENGAGE-INDCi2030-1400,USD2010/TCO2.Capita,0,0,3.76675E-10,3.62608E-10,5.84727E-09,1.10943E-08,8.24582E-09,7.79926E-09,1.21222E-08,1.98854E-08,2.07132E-08,2.04928E-08,2.02727E-08
AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,USD2010/TCO2.Capita,0,0,3.76675E-10,3.62608E-10,5.84727E-09,9.01166E-09,7.19558E-09,7.05424E-09,1.07363E-08,1.81145E-08,2.238E-08,2.68367E-08,2.46768E-08
