AIM/CGE 2.0,model,scenario,unit,,,,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,AIM/CGE 2.0,SSP5-60,USD2010/TCO2.Capita,,,,346.6965529,1397.037196,2346.435015,2311.92143,2280.056423,2870.01107,3425.79545,3819.223431,4196.270372,#DIV/0!,5124.826506,#DIV/0!,5548.851899,#DIV/0!,6012.974363,#DIV/0!,6289.876594,#DIV/0!,6419.833775
AIM/CGE 2.0,AIM/CGE 2.1,CD-LINKS-INDC2030i_1600,USD2010/TCO2.Capita,,,,1889.647603,138.7186589,132.659749,128.3777255,124.3634906,8868.562581,17045.67087,16757.49507,14405.86745,#DIV/0!,16584.64975,#DIV/0!,18104.65554,#DIV/0!,17985.16349,#DIV/0!,18877.43381,#DIV/0!,21760.58194
AIM/CGE 2.0,AIM/CGE 2.1,CD-LINKS-INDCi,USD2010/TCO2.Capita,,,,1889.647603,138.7186589,132.659749,128.3777255,124.3634906,121.7092363,119.1659125,117.9137895,116.687706,#DIV/0!,116.5095826,#DIV/0!,118.3083482,#DIV/0!,122.0107369,#DIV/0!,127.7740921,#DIV/0!,135.7055091
AIM/CGE 2.0,AIM/CGE 2.1,CD-LINKS-NDC2030i_1000,USD2010/TCO2.Capita,,,,1889.647603,138.7186589,132.659749,128.3777255,124.3634906,9119.368804,17422.81907,40222.20948,36132.88494,#DIV/0!,34452.40787,#DIV/0!,46297.86618,#DIV/0!,39228.4163,#DIV/0!,37438.15399,#DIV/0!,46229.43872
AIM/CGE 2.0,AIM/CGE 2.1,CD-LINKS-NPi2020_1000,USD2010/TCO2.Capita,,,,1889.647603,138.7186589,499.3843593,2957.707255,11024.82344,26008.78914,26449.52969,19855.80959,17669.00414,#DIV/0!,22351.54786,#DIV/0!,27390.67779,#DIV/0!,24757.40605,#DIV/0!,24900.96007,#DIV/0!,28802.21867
AIM/CGE 2.1,AIM/CGE 2.1,CD-LINKS-NPi2020_1600,USD2010/TCO2.Capita,,,,1889.647603,138.7186589,921.3086911,2535.870887,10241.61948,12957.71299,11386.8511,11097.00823,11530.16895,#DIV/0!,14791.38085,#DIV/0!,16097.25864,#DIV/0!,16114.7267,#DIV/0!,16840.94478,#DIV/0!,19664.94961
AIM/CGE 2.1,AIM/CGE 2.1,CD-LINKS-NPi2020_400,USD2010/TCO2.Capita,,,,1889.647603,137.7935659,494.1722721,4759.80184,13570.51334,27786.95571,38448.91446,66694.47858,108867.8159,115775.1976,113458.5957,110069.3479,105806.7691,108607.7195,132187.0162,147702.0844,149455.9465,152918.7904,200069.1475
AIM/CGE 2.1,AIM/CGE 2.1,COMMIT-Bridge,USD2010/TCO2.Capita,,,,0,0,0,1688.47658,3147.981404,5835.782769,8357.472201,10772.71232,13168.85607,0,15458.08608,0,18031.4795,0,21018.56276,0,24858.59974,0,33931.27141
AIM/CGE 2.1,AIM/CGE V2.2,ENGAGE-INDCi2030-1000f,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.6078276,5847.265838,16213.84505,13858.35727,10719.26218,13020.31729,16955.44642,19774.64329,23972.45314,27743.24901,26677.88056,26058.08285,25669.72075,25435.30198,25285.66092
AIM/CGE 2.1,AIM/CGE V2.2,ENGAGE-INDCi2030-1200,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.6078276,5847.265838,15574.26945,12517.85001,10295.45402,12295.01479,17314.72885,19444.51858,20550.70957,20290.91158,20163.54994,20117.98707,20144.0965,20186.5741,20144.2766
